artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
xander.,Cabin Fever,Glitter,4TMUus1bJZFxyZUSN8NUoQ,0.628,0.655,0.375,3,-12.006,1,0.0436,0.828,0.325,0.277,180.031,157333,4
Kupla,Life Forms,A Waltz for My Best Friend,06ZGyQ9LqWugQ4Lv6wa0AG,0.54,0.435,0.54,4,-8.107,0,0.054,0.965,0.125,0.041,176.126,133636,3
Chris Mazuera,Dozing,Dozing,2jgadpJkHglyVxwoeRxqi5,0.354,0.644,0.273,9,-12.114,1,0.0933,0.848,0.0893,0.387,156.113,146346,4
ENRA,In Motion,Virginia,0q9OFuUMIRaYkE6M6SxMmG,0.473,0.513,0.156,11,-15.758,0,0.0422,0.743,0.0887,0.132,86.017,175828,4
brillion.,Bedtime Stories Pt. 2,Through the Clouds,65rgrr0kAPjOkeWA2bDoUQ,0.94,0.601,0.153,0,-20.322,1,0.0366,0.938,0.0945,0.0412,120.002,224000,4
Kupla,Life Forms,Microscopic,1XzsBm1dkNZNZFO0aUe5xH,0.263,0.645,0.402,10,-7.074,0,0.0505,0.245,0.187,0.248,145.369,164819,1
Kupla,Life Forms,Heroes,3qHragQorghdC0TpIa6A0k,0.673,0.405,0.414,5,-9.6,0,0.116,0.864,0.181,0.0632,80.307,140000,4
tysu,Window Seat,Pink Skies,4VSLDB2XVcXSs6YWeNiMzS,0.936,0.437,0.11,0,-14.038,1,0.297,0.877,0.108,0.218,211.522,126866,3
dryhope,Kenopsia,Childhood Home,177D3uhyXtsak0hwWgXmZB,0.202,0.77,0.155,11,-9.64,0,0.041,0.908,0.131,0.202,82.991,148193,4
Kupla,Kingdom in Blue,Sunray,4OXMRMckykMoe3olQJ2xpU,0.725,0.816,0.342,0,-10.62,1,0.24,0.933,0.09,0.574,78.025,100624,4
Nothingtosay,Introspective,I Am Not Lost,0HCOG1BRF5TkwQtwBWiDvn,0.819,0.609,0.0597,10,-20.374,0,0.0476,0.93,0.104,0.179,80.003,173867,4
iamalex,Beginnings,Coral,0Y6aKsmR9hybFyKtKjNI2I,0.667,0.704,0.379,9,-15.094,1,0.0605,0.73,0.106,0.572,82.039,70244,4
S N U G,Moonglow,Balcony Nights,1pDu7HDLUxmOQmEs4rDOd5,0.904,0.617,0.274,4,-13.265,1,0.0393,0.939,0.115,0.0788,70.119,164214,4
Casiio,Wondering,Lush,37RrS9j4SOybq4v0mOIOcd,0.718,0.502,0.248,4,-17.02,0,0.123,0.942,0.0962,0.0818,158.069,121531,5
Various Artists,3 Am. Study Session,Numb,00eIWlxr3jOX7nubbxHqJw,0.502,0.522,0.142,1,-17.615,0,0.0834,0.882,0.11,0.0753,81.392,202759,1
Laffey,Summer Nights,Nighttime,0qXw2PAI6WjC8cjG0Yc6Kw,0.971,0.566,0.229,1,-13.716,1,0.0322,0.817,0.111,0.0406,130.108,163269,4
Various Artists,3 Am. Study Session,Signals,43RZiZW1aFdzyKfpLS7MX5,0.602,0.487,0.215,10,-9.931,0,0.153,0.928,0.153,0.0761,81.862,108018,4
Various Artists,3 Am. Study Session,Phantasm,3sLE4qjauZPuKefQ8V9DTU,0.818,0.608,0.0691,6,-13.308,1,0.0983,0.929,0.0919,0.203,81.014,124452,4
tysu,Window Seat,Counting Sheep,2ixRd9vrkwUxf3sb4A04go,0.355,0.498,0.118,9,-14.886,1,0.127,0.93,0.0861,0.113,78.009,172308,4
Sitting Duck,Wonderland Chapter 1,Ancient Tales,0zKp9aHrrpkhV7nccqd0YZ,0.255,0.618,0.289,0,-15.303,1,0.0439,0.823,0.1,0.132,79.91,134625,4
tysu,Window Seat,Rainy Day,3CqPxxTfwQotBHGhPgTuwX,0.915,0.728,0.0645,9,-20.672,1,0.0421,0.954,0.0942,0.103,135.977,171178,4
goosetaf,Perpetual,Looking Back,3IHBuc46YCTNygqwixZfGH,0.916,0.857,0.422,10,-13.422,1,0.0796,0.92,0.131,0.215,80.0,168000,4
Laffey,Summer Nights,Umbrella,0ORfekOSAhkcYgdTS4YK8f,0.99,0.603,0.282,3,-15.854,1,0.0356,0.857,0.106,0.0609,125.955,122718,4
Various Artists,1 Am. Study Session,Luminescence,25HLBWR3qPq4OQapA7xPXs,0.859,0.774,0.35,2,-11.697,1,0.132,0.934,0.108,0.688,78.021,100303,4
Oatmello,Dove,Minimal,213kzI6H6yWt2ZDsnRH8w5,0.669,0.89,0.33,4,-12.541,1,0.0532,0.862,0.0985,0.16,125.977,152381,4
brillion.,Bedtime Stories Pt. 2,Journey,12bCXZqFNW4319LnANk9xt,0.813,0.584,0.163,8,-13.95,1,0.0736,0.876,0.0952,0.346,77.456,161032,4
Various Artists,3 Am. Study Session,Fade Away,5fBTlHvnckGkiIei4cJByl,0.767,0.744,0.158,5,-9.805,0,0.0453,0.913,0.103,0.0384,120.032,164000,4
Monma,Calm Lands,Meet You in the Park,63JfQa3oP1Inox0tKjbsrv,0.601,0.809,0.221,8,-14.615,0,0.203,0.879,0.158,0.683,168.002,151429,4
Blumen,La Hague,Going South,6jlEOZhSc8mJk9wAHZd9rI,0.803,0.388,0.345,9,-11.325,0,0.0436,0.876,0.0849,0.207,83.8,150156,4
ENRA,In Motion,Silver Lining,10TiGlgO65ckoJlCtYhgoK,0.514,0.757,0.333,1,-11.454,0,0.0318,0.862,0.171,0.0818,110.028,139199,4
Kupla,Life Forms,Last Walk,0tRfOZnC9PX5ChVFCt1o0O,0.951,0.531,0.312,2,-14.19,0,0.111,0.72,0.132,0.11,77.034,152316,4
DLJ,Night Emotions,Truth,5lqoPlhQV4EJxP7cq8ewC5,0.814,0.804,0.154,6,-11.364,0,0.0448,0.551,0.116,0.26,79.019,129114,1
Ajmw,Heading Home,Way Back When,7gIRJozQk3tRC0iXuGvpLx,0.875,0.676,0.288,3,-11.985,1,0.0465,0.89,0.109,0.234,78.019,147692,4
brillion.,Bedtime Stories Pt. 2,Reflection,7JHDwKBqF6375JdMLRwGlK,0.895,0.541,0.383,1,-13.096,0,0.0391,0.948,0.117,0.202,76.018,154737,4
xander.,Cabin Fever,Love Cabin,4jFvRItqNOyMadibPnO0F3,0.373,0.764,0.471,7,-13.71,1,0.104,0.828,0.231,0.298,85.043,135529,4
Lilac,Florist,Hydrangea,3P4YCgsSZGfqRMvXxYbyPs,0.812,0.563,0.199,11,-13.454,0,0.327,0.893,0.116,0.0767,75.319,128142,4
Chris Mazuera,Perspective,Perspective,1jRiCU8pgkVAp0KdtNRjqj,0.912,0.628,0.121,7,-12.912,0,0.0535,0.918,0.106,0.315,78.065,172308,4
A[way],Frozen Roses,Cozy Dreams,3NtdKgclhtVYVclRhM1e3P,0.418,0.815,0.455,9,-9.161,1,0.139,0.951,0.115,0.129,85.03,108471,3
Various Artists,3 Am. Study Session,Fateful Slumber,1ZoHAH5k36VxzYbzDo13ED,0.943,0.655,0.214,2,-14.256,1,0.0384,0.905,0.0945,0.207,119.012,169412,4
Various Artists,Lazy Sunday,Nostalgia,5yQGijJH2I8wJXBJFA4hWE,0.676,0.684,0.331,1,-12.077,1,0.424,0.663,0.0993,0.265,79.733,97125,4
Various Artists,3 Am. Study Session,Recharge,1cxeBDBw3933DUxplLIx5C,0.567,0.505,0.189,4,-14.251,0,0.0376,0.696,0.282,0.0707,179.868,149833,4
Various Artists,Lazy Sunday,Untold Stories,5IdczHXiYzEamFgeJJZ1JH,0.905,0.631,0.199,9,-17.725,0,0.0315,0.771,0.0758,0.227,79.955,119305,4
Tom Doolie,Naoko,Rackets,7cc14x1ggQ0XsQsLJ06jpe,0.86,0.573,0.491,11,-16.177,0,0.0509,0.929,0.101,0.321,77.98,111613,4
dryhope,Kenopsia,No Secrets,28UoNpCd13ejnMpPDM4Lbr,0.803,0.799,0.333,11,-8.314,0,0.0725,0.907,0.109,0.355,174.02,115172,4
No Spirit,Memories We Made,Hope,2z5EDJrebx8s7yKbwi33TW,0.609,0.585,0.208,8,-11.963,1,0.0353,0.786,0.378,0.129,63.934,213750,4
